0	var	1
25	x	1
19	,	1
25	y	1
19	,	1
25	g	1
19	,	1
25	m	1
19	,	1
25	temp	1
20	;	1
25	x	3
16	:=	3
26	45	3
20	;	3
25	y	4
16	:=	4
26	27	4
20	;	4
25	x	5
16	:=	5
25	x	5
12	-	5
25	x	5
14	/	5
25	y	5
13	*	5
25	y	5
20	;	5
8	while	7
15	~	7
21	(	7
25	x	7
18	=	7
26	0	7
22	)	7
9	do	7
25	temp	8
16	:=	8
25	x	8
20	;	8
25	x	9
16	:=	9
25	y	9
20	;	9
25	y	10
16	:=	10
25	temp	10
20	;	10
25	x	11
16	:=	11
25	x	11
12	-	11
25	x	11
14	/	11
25	y	11
13	*	11
25	y	11
10	od	12
20	;	12
25	g	13
16	:=	13
25	y	13
20	;	13
25	m	14
16	:=	14
26	45	14
13	*	14
26	27	14
14	/	14
25	g	14
20	;	14
3	write	15
21	(	15
25	g	15
22	)	15
20	;	15
3	write	16
21	(	16
25	m	16
22	)	16
